System,Tube,Control type,Cassette,Bearing deduction,Control deduction
College,63,Crank,None,27,46
Evolve Zero,44,Nice Era Action,Cassette,19,25
Evolve Zero,44,Nice Era Action,Fascia,18,18
Evolve Zero,44,Nice Era Action,None,19,25
Evolve Zero,44,Nice Era Action,Separate cassette,17,23
Evolve Zero,44,Nice Era Action,Separate fascia,18,18
Evolve Zero,52,Nice Era Action,Cassette,19,25
Evolve Zero,52,Nice Era Action,Fascia,18,18
Evolve Zero,52,Nice Era Action,None,19,25
Evolve Zero,52,Nice Era Action,Separate cassette,17,23
Evolve Zero,52,Nice Era Action,Separate fascia,18,18
Evolve Zero,44,Nice Era Edge,Cassette,19,25
Evolve Zero,44,Nice Era Edge,Fascia,18,18
Evolve Zero,44,Nice Era Edge,None,19,25
Evolve Zero,44,Nice Era Edge,Separate cassette,17,23
Evolve Zero,44,Nice Era Edge,Separate fascia,18,18
Evolve Zero,52,Nice Era Edge,Cassette,19,25
Evolve Zero,52,Nice Era Edge,Fascia,18,18
Evolve Zero,52,Nice Era Edge,None,19,25
Evolve Zero,52,Nice Era Edge,Separate cassette,17,23
Evolve Zero,52,Nice Era Edge,Separate fascia,18,18
Evolve Zero,44,Nice Era Mat ST,Cassette,19,25
Evolve Zero,44,Nice Era Mat ST,Fascia,18,18
Evolve Zero,44,Nice Era Mat ST,None,19,25
Evolve Zero,44,Nice Era Mat ST,Separate cassette,17,23
Evolve Zero,44,Nice Era Mat ST,Separate fascia,18,18
Evolve Zero,52,Nice Era Mat ST,Cassette,19,25
Evolve Zero,52,Nice Era Mat ST,Fascia,18,18
Evolve Zero,52,Nice Era Mat ST,None,19,25
Evolve Zero,52,Nice Era Mat ST,Separate cassette,17,23
Evolve Zero,52,Nice Era Mat ST,Separate fascia,18,18
Evolve Zero,44,Nice Era S,Cassette,19,25
Evolve Zero,44,Nice Era S,Fascia,18,18
Evolve Zero,44,Nice Era S,None,19,25
Evolve Zero,44,Nice Era S,Separate cassette,17,23
Evolve Zero,44,Nice Era S,Separate fascia,18,18
Evolve Zero,52,Nice Era S,Cassette,19,25
Evolve Zero,52,Nice Era S,Fascia,18,18
Evolve Zero,52,Nice Era S,None,19,25
Evolve Zero,52,Nice Era S,Separate cassette,17,23
Evolve Zero,52,Nice Era S,Separate fascia,18,18
Evolve Zero,44,Nice Era Smart,Cassette,19,25
Evolve Zero,44,Nice Era Smart,Fascia,18,18
Evolve Zero,44,Nice Era Smart,None,19,25
Evolve Zero,44,Nice Era Smart,Separate cassette,17,23
Evolve Zero,44,Nice Era Smart,Separate fascia,18,18
Evolve Zero,52,Nice Era Smart,Cassette,19,25
Evolve Zero,52,Nice Era Smart,Fascia,18,18
Evolve Zero,52,Nice Era Smart,None,19,25
Evolve Zero,52,Nice Era Smart,Separate cassette,17,23
Evolve Zero,52,Nice Era Smart,Separate fascia,18,18
Evolve Zero,44,Nice Era Star ST,Cassette,19,25
Evolve Zero,44,Nice Era Star ST,Fascia,18,18
Evolve Zero,44,Nice Era Star ST,None,19,25
Evolve Zero,44,Nice Era Star ST,Separate cassette,17,23
Evolve Zero,44,Nice Era Star ST,Separate fascia,18,18
Evolve Zero,52,Nice Era Star ST,Cassette,19,25
Evolve Zero,52,Nice Era Star ST,Fascia,18,18
Evolve Zero,52,Nice Era Star ST,None,19,25
Evolve Zero,52,Nice Era Star ST,Separate cassette,17,23
Evolve Zero,52,Nice Era Star ST,Separate fascia,18,18
Evolve Zero,44,Somfy Sonesse 30 DCT,Cassette,19,23
Evolve Zero,44,Somfy Sonesse 30 DCT,Fascia,18,17
Evolve Zero,44,Somfy Sonesse 30 DCT,None,19,23
Evolve Zero,44,Somfy Sonesse 30 DCT,Separate cassette,17,21
Evolve Zero,44,Somfy Sonesse 30 DCT,Separate fascia,18,17
Evolve Zero,52,Somfy Sonesse 30 DCT,Cassette,19,23
Evolve Zero,52,Somfy Sonesse 30 DCT,Fascia,18,17
Evolve Zero,52,Somfy Sonesse 30 DCT,None,19,23
Evolve Zero,52,Somfy Sonesse 30 DCT,Separate cassette,17,21
Evolve Zero,52,Somfy Sonesse 30 DCT,Separate fascia,18,17
Evolve Zero,44,Somfy Sonesse 30 RS485,Cassette,19,23
Evolve Zero,44,Somfy Sonesse 30 RS485,Fascia,18,17
Evolve Zero,44,Somfy Sonesse 30 RS485,None,19,23
Evolve Zero,44,Somfy Sonesse 30 RS485,Separate cassette,17,21
Evolve Zero,44,Somfy Sonesse 30 RS485,Separate fascia,18,17
Evolve Zero,52,Somfy Sonesse 30 RS485,Cassette,19,23
Evolve Zero,52,Somfy Sonesse 30 RS485,Fascia,18,17
Evolve Zero,52,Somfy Sonesse 30 RS485,None,19,23
Evolve Zero,52,Somfy Sonesse 30 RS485,Separate cassette,17,21
Evolve Zero,52,Somfy Sonesse 30 RS485,Separate fascia,18,17
Evolve Zero,44,Somfy Sonesse 30 RTS WF,Cassette,19,23
Evolve Zero,44,Somfy Sonesse 30 RTS WF,Fascia,19,19
Evolve Zero,44,Somfy Sonesse 30 RTS WF,None,19,23
Evolve Zero,44,Somfy Sonesse 30 RTS WF,Separate cassette,17,21
Evolve Zero,44,Somfy Sonesse 30 RTS WF,Separate fascia,19,19
Evolve Zero,52,Somfy Sonesse 30 RTS WF,Cassette,19,23
Evolve Zero,52,Somfy Sonesse 30 RTS WF,Fascia,19,19
Evolve Zero,52,Somfy Sonesse 30 RTS WF,None,19,23
Evolve Zero,52,Somfy Sonesse 30 RTS WF,Separate cassette,17,21
Evolve Zero,52,Somfy Sonesse 30 RTS WF,Separate fascia,19,19
Evolve Zero,44,Somfy Sonesse 30 RTS,Cassette,19,23
Evolve Zero,44,Somfy Sonesse 30 RTS,Fascia,18,17
Evolve Zero,44,Somfy Sonesse 30 RTS,None,19,23
Evolve Zero,44,Somfy Sonesse 30 RTS,Separate cassette,17,21
Evolve Zero,44,Somfy Sonesse 30 RTS,Separate fascia,18,17
Evolve Zero,52,Somfy Sonesse 30 RTS,Cassette,19,23
Evolve Zero,52,Somfy Sonesse 30 RTS,Fascia,18,17
Evolve Zero,52,Somfy Sonesse 30 RTS,None,19,23
Evolve Zero,52,Somfy Sonesse 30 RTS,Separate cassette,17,21
Evolve Zero,52,Somfy Sonesse 30 RTS,Separate fascia,18,17
Evolve Zero,44,Somfy Sonesse 30 Zigbee WF,Cassette,19,23
Evolve Zero,44,Somfy Sonesse 30 Zigbee WF,Fascia,18,17
Evolve Zero,44,Somfy Sonesse 30 Zigbee WF,None,19,23
Evolve Zero,44,Somfy Sonesse 30 Zigbee WF,Separate cassette,17,21
Evolve Zero,44,Somfy Sonesse 30 Zigbee WF,Separate fascia,18,17
Evolve Zero,52,Somfy Sonesse 30 Zigbee WF,Cassette,19,23
Evolve Zero,52,Somfy Sonesse 30 Zigbee WF,Fascia,18,17
Evolve Zero,52,Somfy Sonesse 30 Zigbee WF,None,19,23
Evolve Zero,52,Somfy Sonesse 30 Zigbee WF,Separate cassette,17,21
Evolve Zero,52,Somfy Sonesse 30 Zigbee WF,Separate fascia,18,17
Evolve Zero,44,Somfy Sonesse 30 Zigbee,Cassette,19,23
Evolve Zero,44,Somfy Sonesse 30 Zigbee,Fascia,18,17
Evolve Zero,44,Somfy Sonesse 30 Zigbee,None,19,23
Evolve Zero,44,Somfy Sonesse 30 Zigbee,Separate cassette,17,21
Evolve Zero,44,Somfy Sonesse 30 Zigbee,Separate fascia,18,17
Evolve Zero,52,Somfy Sonesse 30 Zigbee,Cassette,19,23
Evolve Zero,52,Somfy Sonesse 30 Zigbee,Fascia,18,17
